Unique ID,Survey Type,Start time,What are the biggest challenges facing households in your community today?,Do you currently live or work in Southern Maine? (Can select more than one),"If an unexpected expense of $400 came up, would you be able to pay it?",Are you part of a community whose voice you feel is not being heard?,"What community are you referring to?  Please name the group, town, or city. ",What is your age group?,How do you describe your race or ethnicity? (Can select more than one),What is your primary relationship with United Way of Southern Maine (UWSM)?,Want to get involved?  ,How would you consider getting involved locally to be part of the solution? (Select all that apply),Which bills or everyday expenses are the hardest for your household to afford?,What is your zip code?,Are you currently employed?,What type of employment?,Can you describe more about how this financial challenge affects you or your family?,What’s getting in the way of being able to cover your bills or living expenses? (Select all that apply),What supports would be most helpful for you?,"Where would you like to be in 5 years? You can share anything that matters to you—like having a steady job, owning a home, goin",How would you like to be part of creating change in your community? (Select all that apply),How long have you lived in Maine?,Would you be willing to share your story with others in the community?
ThreeQ290,3Q,1106076:40:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland & York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ291,3Q,1106076:41:00,"Paying for housing (rent, utilities, mortgage, taxes);Jobs with low pay or no benefits;ICE - fear",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ292,3Q,1106076:42:00,Finding affordable healthcare;Child care that is affordable and available;Access to college or training after high school,Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ293,3Q,1106076:42:00,"Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Jobs with low pay or no benefits;Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ294,3Q,1106076:43:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ295,3Q,1106076:43:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ296,3Q,1106076:43:00,Finding affordable healthcare;Student loan debt,Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ297,3Q,1106076:44:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ298,3Q,1106076:44:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ299,3Q,1106076:44:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ300,3Q,1106076:45:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ301,3Q,1106076:46:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ302,3Q,1106076:46:00,Finding affordable healthcare,York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ303,3Q,1106076:50:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Finding affordable healthcare;Child care that is affordable and available;Lack of stable jobs with career growth",Other Maine County,Yes,,,,,,,,,,,,,,,,,,
ThreeQ304,3Q,1106076:51:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Caring for aging parents or relatives",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ305,3Q,1106076:51:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ306,3Q,1106076:55:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ307,3Q,1106076:55:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland & York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ308,3Q,1106076:55:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ309,3Q,1106076:56:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ310,3Q,1106076:58:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ311,3Q,1106080:26:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ312,3Q,1106085:22:00,"Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ313,3Q,1106085:23:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Lack of stable jobs with career growth",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ314,3Q,1106085:24:00,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Feeling isolated or not connected to community",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ315,3Q,1106085:25:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Caring for aging parents or relatives;Lack of stable jobs with career growth;Access to college or training after high school",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ316,3Q,1106085:26:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Caring for aging parents or relatives",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ317,3Q,1106085:28:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Impact of flooding and other extreme weather",Cumberland,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ318,3Q,1106085:29:00,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives;Feeling isolated or not connected to community",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ319,3Q,1106085:30:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food;Finding affordable healthcare;Mental health challenges (like anxiety, depression)",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ320,3Q,1106085:32:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ321,3Q,1106085:33:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Jobs with low pay or no benefits;Jobs with no comprehensive benefits",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ322,3Q,1106085:34:00,Finding affordable healthcare;Child care that is affordable and available,York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ323,3Q,1106085:36:00,"Finding affordable healthcare;Mental health challenges (like anxiety, depression);Jobs with low pay or no benefits",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ324,3Q,1106085:36:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting enough food",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ325,3Q,1106085:37:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available",Cumberland,Yes,,,,,,,,,,,,,,,,,,
ThreeQ326,3Q,1106097:47:00,"Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ327,3Q,1106097:54:00,Finding affordable healthcare,York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ328,3Q,1106097:54:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare",York,No,,,,,,,,,,,,,,,,,,
ThreeQ329,3Q,1106097:55:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression)",York,No,,,,,,,,,,,,,,,,,,
ThreeQ330,3Q,1106097:56:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Getting to work, school, or appointments (transportation);Feeling isolated or not connected to community",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ331,3Q,1106097:56:00,"Paying for housing (rent, utilities, mortgage, taxes);Child care that is affordable and available;Jobs with low pay or no benefits",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ332,3Q,1106097:58:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction)",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ333,3Q,1106098:00:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies)",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ334,3Q,1106098:07:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ335,3Q,1106098:08:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ336,3Q,1106098:08:00,"Covering basic expenses (groceries, gas, emergencies);Getting to work, school, or appointments (transportation);Mental health challenges (like anxiety, depression);Child care that is affordable and available;Caring for aging parents or relatives",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ337,3Q,1106098:10:00,Finding affordable healthcare,York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ338,3Q,1106098:11:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Child care that is affordable and available",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ339,3Q,1106098:11:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Child care that is affordable and available;Jobs with low pay or no benefits",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ340,3Q,1106098:12:00,Caring for aging parents or relatives,York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ341,3Q,1106098:13:00,Child care that is affordable and available,York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ342,3Q,1106098:14:00,"Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Getting to work, school, or appointments (transportation);Lack of stable jobs with career growth",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ343,3Q,1106098:14:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Caring for aging parents or relatives",York,No,,,,,,,,,,,,,,,,,,
ThreeQ344,3Q,1106098:15:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Child care that is affordable and available;Jobs with low pay or no benefits",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ345,3Q,1106098:16:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Behavioral health challenges (like substance use or addiction);Child care that is affordable and available;Getting to work, school, or appointments (transportation)",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ346,3Q,1106098:17:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Getting to work, school, or appointments (transportation)",York,No,,,,,,,,,,,,,,,,,,
ThreeQ347,3Q,1106098:17:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Getting to work, school, or appointments (transportation);Feeling isolated or not connected to community",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ348,3Q,1106098:18:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food;Child care that is affordable and available",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ349,3Q,1106098:19:00,Behavioral health challenges (like substance use or addiction);Caring for aging parents or relatives;Jobs with low pay or no benefits,York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ350,3Q,1106098:20:00,"Paying for housing (rent, utilities, mortgage, taxes);Finding affordable healthcare;Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Caring for aging parents or relatives",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ351,3Q,1106098:20:00,"Paying for housing (rent, utilities, mortgage, taxes);Mental health challenges (like anxiety, depression);Behavioral health challenges (like substance use or addiction);Getting to work, school, or appointments (transportation);Jobs with low pay or no benefits",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ352,3Q,1106098:21:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies)",York,"Maybe, with difficulty",,,,,,,,,,,,,,,,,,
ThreeQ353,3Q,1106098:22:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Mental health challenges (like anxiety, depression)",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ354,3Q,1106098:23:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available",York,No,,,,,,,,,,,,,,,,,,
ThreeQ355,3Q,1106098:23:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Finding affordable healthcare",York,No,,,,,,,,,,,,,,,,,,
ThreeQ356,3Q,1106098:24:00,"Paying for housing (rent, utilities, mortgage, taxes);Getting enough food",York,No,,,,,,,,,,,,,,,,,,
ThreeQ357,3Q,1106098:25:00,"Paying for housing (rent, utilities, mortgage, taxes);Caring for aging parents or relatives",York,Yes,,,,,,,,,,,,,,,,,,
ThreeQ358,3Q,1106098:26:00,"Paying for housing (rent, utilities, mortgage, taxes);Covering basic expenses (groceries, gas, emergencies);Child care that is affordable and available",York,Yes,,,,,,,,,,,,,,,,,,
